"Season","Team","W","L","SV","IP","R","ER","H/9","K/9","BB/9","HR/9","WHIP","BABIP","EV","ERA","FIP","xFIP","RAR","RA9-WAR","WAR"
"1884","Outlaw Reds","69","34","1","914.1","466","242","8.18","4.95","0.89","0.17","1.01",".282","","2.38","2.71","","109.3","22.0","10.5"
"1907","Superbas","65","83","1","1356.1","527","359","8.08","3.18","3.07","0.11","1.24",".264","","2.38","2.65","","77.2","10.1","9.0"
"1888","Quakers","68","61","3","1167.0","514","309","8.27","4.00","1.51","0.20","1.09",".274","","2.38","2.56","","171.0","20.5","16.9"
"1885","Quakers","56","54","0","976.0","511","259","7.93","3.49","2.01","0.17","1.10",".262","","2.39","3.02","","97.5","12.1","8.9"
"1915","Red Sox","101","50","15","1397.0","499","371","7.50","4.08","2.87","0.12","1.15",".257","","2.39","2.63","","143.5","26.4","16.4"
"1905","Giants","105","48","15","1370.0","504","364","7.62","4.99","2.39","0.16","1.11",".268","","2.39","2.45","","183.9","28.3","21.1"
"1875","Mutuals","30","38","0","637.2","425","170","10.11","0.23","0.34","0.04","1.16",".286","","2.40","2.49","","60.7","4.6","4.9"
"1881","Grays","47","37","0","757.2","426","202","8.98","3.14","1.64","0.06","1.18",".286","","2.40","2.62","","75.4","6.4","7.0"
"1909","Naps","71","82","3","1361.0","532","363","8.01","3.76","2.30","0.06","1.15",".269","","2.40","2.23","","116.2","12.1","14.5"
"1908","Tigers","90","63","5","1374.1","552","367","8.60","3.62","2.08","0.08","1.19",".281","","2.40","2.10","","124.4","12.8","16.1"
"1875","White Stockings","30","37","0","625.0","416","167","9.39","0.40","0.40","0.00","1.09",".273","","2.40","2.41","","94.8","7.7","7.9"
"1907","Reds","66","87","2","1351.1","519","362","8.15","3.20","2.96","0.11","1.23",".266","","2.41","2.61","","106.9","15.1","12.7"
"1892","Spiders","93","55","2","1336.0","613","358","7.94","3.18","2.78","0.19","1.19",".259","","2.41","3.02","","192.9","30.9","18.3"
"1888","Athletics","81","52","0","1208.2","594","324","7.36","4.44","2.41","0.10","1.09",".257","","2.41","2.63","","142.5","21.6","14.1"
"1913","Giants","101","51","17","1422.0","515","383","8.08","4.12","1.99","0.24","1.12",".269","","2.42","2.65","","176.5","28.0","19.7"
"1915","White Sox","93","61","9","1401.0","509","378","7.98","4.08","2.25","0.09","1.14",".270","","2.43","2.38","","187.4","24.9","21.7"
"1881","White Stockings","56","28","0","744.2","379","201","8.73","2.76","1.47","0.17","1.13",".274","","2.43","2.81","","84.7","12.3","8.0"
"1907","Phillies","83","64","4","1299.1","481","351","7.58","3.46","2.92","0.09","1.17",".255","","2.43","2.51","","104.3","15.5","12.4"
"1880","Reds","21","59","0","713.1","472","193","9.90","2.62","1.11","0.13","1.22",".301","","2.44","2.50","","62.6","-2.3","6.1"
"1909","Phillies","74","79","6","1391.0","519","377","7.70","3.96","3.05","0.15","1.19",".261","","2.44","2.57","","120.1","18.4","14.2"
"1914","Chi-Feds","87","67","8","1420.1","517","385","7.63","4.12","2.49","0.27","1.12",".257","","2.44","2.74","","100.5","26.3","11.5"
"1885","Browns","79","33","0","1002.0","461","272","7.90","3.40","1.51","0.11","1.04",".262","","2.44","2.78","","140.7","26.0","13.1"
"1907","Giants","82","71","13","1371.0","511","373","8.00","4.30","2.42","0.16","1.16",".271","","2.45","2.27","","155.5","15.7","18.7"
"1907","Americans","59","90","7","1414.0","556","385","7.78","3.29","2.14","0.14","1.10",".257","","2.45","2.36","","107.6","17.4","13.5"
"1967","White Sox","89","73","39","1490.1","491","406","7.23","5.60","2.81","0.53","1.12",".245","","2.45","3.11","","140.2","26.8","16.5"
"1886","Quakers","71","43","2","1045.2","498","285","7.94","4.65","2.27","0.25","1.14",".271","","2.45","3.19","","116.5","22.3","10.3"
"1910","Red Sox","81","72","6","1430.0","564","390","7.78","4.22","2.61","0.19","1.15",".264","","2.45","2.53","","115.1","16.0","13.8"
"1917","Phillies","87","65","5","1389.1","500","379","8.15","3.99","2.11","0.16","1.14",".268","","2.46","2.39","","161.1","21.9","20.5"
"1879","White Stockings","46","33","0","744.0","411","203","9.22","2.55","0.69","0.06","1.10",".286","","2.46","2.49","","99.5","10.8","9.2"
"1884","Metropolitans","75","32","0","985.0","423","269","7.33","5.74","1.05","0.19","0.93",".266","","2.46","2.62","","154.3","23.5","13.8"
"1910","Senators","66","85","3","1373.1","552","376","7.96","4.42","2.46","0.12","1.16",".272","","2.46","2.34","","112.6","11.8","14.0"
"1908","Superbas","53","101","4","1369.0","514","375","7.66","3.52","2.92","0.11","1.18",".257","","2.47","2.45","","71.6","9.2","8.6"
"1884","Beaneaters","73","38","2","1037.0","468","285","8.09","6.44","1.17","0.26","1.03",".292","","2.47","2.61","","192.0","25.8","17.1"
"1916","Red Sox","91","63","16","1410.2","480","388","7.79","3.73","2.95","0.06","1.19",".267","","2.48","2.64","","118.0","22.3","14.1"
"1914","White Sox","70","84","11","1398.2","568","385","7.77","4.25","2.58","0.10","1.15",".266","","2.48","2.49","","143.7","11.6","16.8"
"1918","Pirates","65","60","7","1140.1","411","314","7.93","2.90","2.36","0.10","1.14",".255","","2.48","2.60","","111.7","18.2","13.9"
"1968","Cardinals","97","65","32","1479.1","472","409","7.80","5.91","2.28","0.50","1.12",".264","","2.49","2.61","","148.5","27.2","19.8"
"1906","Giants","96","55","18","1334.1","508","369","8.14","4.31","2.66","0.09","1.20",".277","","2.49","2.42","","148.5","16.1","17.7"
"1886","Browns","93","46","2","1229.1","592","340","7.96","4.27","2.41","0.10","1.15",".271","","2.49","3.09","","194.6","32.5","17.3"
"1891","Brewers","21","15","0","309.2","156","86","8.46","3.98","3.49","0.17","1.33",".279","","2.50","3.21","","63.1","9.5","5.7"
"1876","Red Caps","39","31","7","632.0","450","176","10.42","1.10","1.48","0.10","1.32",".298","","2.51","2.63","","40.9","0.4","3.4"
"1910","Cubs","104","50","13","1378.2","499","384","7.64","3.98","3.09","0.12","1.19",".260","","2.51","2.64","","143.3","26.6","16.2"
"1909","Reds","77","76","8","1407.0","599","394","7.89","3.05","3.26","0.03","1.24",".260","","2.52","2.67","","83.0","8.8","9.9"
"1917","Indians","88","66","22","1412.2","542","396","8.09","2.87","2.79","0.11","1.21",".266","","2.52","2.78","","139.5","20.6","16.7"
