"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1887","Metropolitans","869","138","1180.1","2783","1717","521","","","237","","","","","","","102","",".896","-56"
"1890","Athletics","820","132","1132.0","2729","1578","387","","","224","","","","","","","65","",".918","-56"
"1901","Orioles","847","134","1158.0","2585","1514","346","","","174","","","","","","","20","",".922","-56"
"1927","Braves","1132","156","1390.0","2985","1840","189","","","329","","","","","","","11","",".962","-56"
"1939","Browns","1153","156","1371.1","3094","1761","159","","","384","","","","","","","17","",".968","-56"
"1970","Tigers","1943","1458","13026.0","4343","1641","133","","","372","","","","","68","51","15","56",".978","-56"
"1971","Braves","1848","1458","13272.0","4430","1814","146","","","488","","","","","81","32","33","55",".977","-56"
"1982","Reds","1992","1458","13143.0","4384","1763","128","","","420","","","","","149","53","12","50",".980","-56"
"1993","Reds","2062","1458","12906.0","4301","1635","121","","","354","","","","","134","56","12","47",".980","-56"
"1999","Mariners","2062","1458","12903.0","4300","1690","113","","","495","","","","","107","50","8","63",".981","-56"
"1883","Orioles","602","96","844.2","2058","1094","517","","","108","","","","","","","213","",".859","-57"
"1898","Senators","979","155","1307.0","2976","1792","373","","","271","","","","","","","16","",".927","-57"
"1935","Braves","1114","153","1330.0","2783","1720","146","","","256","","","","","","","7","",".969","-57"
"1968","Phillies","1816","1458","13032.0","4341","1842","127","","","443","","","","","56","56","19","30",".980","-57"
"1988","Phillies","2009","1458","12897.0","4299","1653","145","","","372","","","","","185","66","18","52",".976","-57"
"1990","Royals","2001","1449","12786.0","4263","1596","122","","","427","","","","","115","28","13","59",".980","-57"
"2000","Pirates","2128","1460","13041.0","4347","1827","132","","","452","","","","","101","42","12","67",".979","-57"
"1888","Colonels","857","139","1231.1","3024","1703","503","","","149","","","","","","","131","",".904","-58"
"1915","Athletics","1071","154","1348.1","3155","1944","298","","","275","","","","","","","17","",".945","-58"
"1945","Phillies","1264","154","1352.2","2987","1770","203","","","356","","","","","","","12","",".959","-58"
"1959","Senators","1743","1386","12240.0","4084","1787","162","","","369","","","","","85","27","19","37",".973","-58"
"1975","Tigers","1646","1431","12564.0","4188","1754","173","","","378","","","","","123","68","11","48",".972","-58"
"1981","Indians","1203","927","8379.0","2793","1156","87","","","240","","","","","48","46","8","30",".978","-58"
"2001","Yankees","1980","1448","13062.0","4354","1528","109","","","348","","","","","146","45","21","54",".982","-58"
"1907","Senators","1041","154","1351.1","3212","1910","261","","","156","","","","","","","25","",".952","-59"
"1907","Highlanders","1019","152","1333.2","3200","1918","283","","","197","","","","","","","24","",".948","-59"
"1921","Tigers","1103","154","1386.1","3108","1883","198","","","229","","","","","","","15","",".962","-59"
"1958","Phillies","1733","1386","12573.0","4192","1498","129","","","350","","","","","55","26","21","37",".978","-59"
"1990","Braves","2027","1458","12867.0","4286","1735","158","","","359","","","","","181","62","15","61",".974","-59"
"1995","Blue Jays","1713","1296","11634.0","3878","1399","97","","","338","","","","","98","50","31","73",".982","-59"
"1906","Tigers","957","151","1334.1","3136","1936","236","","","191","","","","","","","10","",".956","-60"
"1914","Phillies","1080","154","1379.1","3184","1939","266","","","176","","","","","","","11","",".951","-60"
"1926","Phillies","1178","152","1334.1","2955","1963","191","","","399","","","","","","","15","",".963","-60"
"1997","Tigers","2067","1458","13011.0","4335","1720","92","","","399","","","","","130","48","11","51",".985","-60"
"1970","Astros","1959","1458","13104.0","4287","1799","140","","","394","","","","","79","58","12","91",".978","-61"
"1971","Cardinals","1954","1467","13203.0","4400","1772","142","","","398","","","","","54","36","24","56",".978","-61"
"1983","Phillies","2165","1467","13155.0","4389","1804","152","","","315","","","","","167","79","13","44",".976","-61"
"2000","Rangers","2086","1458","12861.0","4287","1596","135","","","436","","","","","65","37","8","40",".978","-61"
"1964","Colt .45's","1838","1458","12852.0","4287","1785","149","","","325","","","","","95","40","23","40",".976","-62"
"1976","Giants","1956","1458","13155.0","4382","1939","186","","","415","","","","","136","46","15","47",".971","-62"
"1980","Angels","1889","1440","12855.0","4285","1576","134","","","398","","","","","147","41","10","32",".978","-62"
"1986","Cubs","2136","1440","13005.0","4334","1783","124","","","386","","","","","132","102","17","55",".980","-62"
"1892","Orioles","947","152","1298.2","3139","1919","470","","","219","","","","","","","59","",".915","-63"
"1899","Spiders","962","154","1264.0","2898","1942","314","","","277","","","","","","","26","",".939","-63"
"1958","Senators","1779","1404","12390.0","4124","1648","118","","","441","","","","","80","41","15","43",".980","-63"
"1884","Nationals","727","112","953.2","2387","1196","502","","","107","","","","","","","176","",".877","-64"
"1972","White Sox","1893","1386","12468.0","4149","1686","135","","","352","","","","","75","60","23","46",".977","-64"
"1988","Braves","1938","1440","13014.0","4337","1788","151","","","380","","","","","148","63","12","45",".976","-64"
"1997","Yankees","2026","1458","13209.0","4423","1703","104","","","411","","","","","111","47","19","62",".983","-64"
"1972","Astros","1715","1377","12468.0","4158","1675","116","","","420","","","","","99","37","17","58",".981","-65"
"1974","Mets","1848","1458","13233.0","4408","1795","158","","","400","","","","","113","48","12","40",".975","-65"
"1991","Mets","2072","1449","12936.0","4312","1766","143","","","291","","","","","134","74","12","59",".977","-65"
"1889","Colonels","876","140","1226.1","2883","1891","482","","","280","","","","","","","151","",".908","-66"
"1970","White Sox","1949","1458","12873.0","4283","2056","166","","","505","","","","","106","43","27","64",".974","-67"
"1982","Mets","2025","1458","13026.0","4348","1839","175","","","354","","","","","153","86","6","32",".972","-67"
"1998","Angels","2076","1458","12996.0","4329","1646","106","","","392","","","","","156","65","29","70",".983","-67"
"1998","Athletics","2119","1458","12906.0","4302","1655","141","","","426","","","","","103","48","13","68",".977","-67"
"1965","Astros","1820","1458","13152.0","4386","1762","166","","","342","","","","","70","40","25","53",".974","-68"
"1981","Cubs","1347","954","8610.0","2873","1286","112","","","279","","","","","109","55","6","42",".974","-68"
"1899","Senators","1000","155","1300.1","2908","1810","337","","","213","","","","","","","28","",".933","-69"
"1969","Phillies","1829","1458","12906.0","4296","1752","136","","","430","","","","","68","48","22","54",".978","-69"
"1972","Padres","1813","1377","12633.0","4211","1621","144","","","376","","","","","98","46","12","66",".976","-69"
"1973","White Sox","1827","1458","13104.0","4369","1868","144","","","436","","","","","110","57","33","40",".977","-69"
"1986","Dodgers","2137","1458","13089.0","4362","1803","181","","","305","","","","","123","73","11","51",".971","-69"
"1963","Colt .45's","1870","1458","13053.0","4342","1626","162","","","255","","","","","82","50","22","43",".974","-70"
"1963","Mets","1940","1458","12846.0","4281","1884","212","","","383","","","","","61","58","24","56",".967","-70"
"1982","Giants","2030","1457","13188.0","4394","1908","173","","","350","","","","","185","96","7","33",".973","-70"
"1994","Dodgers","1473","1026","9126.0","3042","1245","88","","","276","","","","","90","33","12","42",".980","-70"
"1912","Highlanders","1013","153","1335.0","3142","1882","321","","","173","","","","","","","27","",".940","-71"
"1930","Phillies","1196","156","1372.2","3012","1925","185","","","442","","","","","","","11","",".964","-71"
"1944","Dodgers","1222","155","1367.2","2933","1527","165","","","282","","","","","","","12","",".964","-71"
"1905","Superbas","973","155","1347.0","3160","1945","346","","","252","","","","","","","21","",".937","-72"
"1979","Giants","1994","1458","12924.0","4310","1804","163","","","369","","","","","144","76","17","50",".974","-72"
"1891","Statesmen","877","139","1181.0","2890","1701","463","","","220","","","","","","","73","",".908","-73"
"1893","Senators","814","130","1139.0","2648","1682","412","","","217","","","","","","","46","",".913","-73"
"1969","Astros","1874","1458","12921.0","4196","1634","153","","","361","","","","","66","53","15","73",".974","-73"
"1982","Yankees","1867","1458","13131.0","4378","1700","128","","","417","","","","","98","44","15","41",".979","-73"
"1961","Cubs","1831","1404","12465.0","4154","1841","183","","","486","","","","","61","35","35","50",".970","-74"
"1970","Phillies","1940","1449","13149.0","4387","1568","114","","","363","","","","","122","46","19","52",".981","-74"
"1902","Orioles","887","140","1210.1","2762","1703","295","","","249","","","","","","","26","",".938","-75"
"1966","Astros","1839","1467","12993.0","4331","1663","174","","","327","","","","","72","44","25","60",".972","-76"
"1989","Padres","1965","1458","13116.0","4373","1823","154","","","385","","","","","68","44","14","42",".976","-76"
"1990","Cubs","2066","1458","12984.0","4326","1755","124","","","363","","","","","98","56","24","62",".980","-76"
"1884","Keystones","414","67","593.1","1525","820","403","","","79","","","","","","","188","",".853","-77"
"1942","Senators","1063","151","1346.2","2976","1608","179","","","326","","","","","","","19","",".962","-77"
"1950","Browns","1206","154","1365.1","2883","1608","165","","","408","","","","","","","9","",".965","-77"
"1970","Cardinals","1953","1458","13281.0","4429","1834","150","","","422","","","","","86","46","20","66",".977","-77"
"1996","Red Sox","2164","1458","13122.0","4374","1638","135","","","410","","","","","147","36","23","51",".978","-77"
"1890","Alleghenys","857","138","1176.1","2717","1643","490","","","188","","","","","","","77","",".899","-78"
"1996","Tigers","2066","1458","12894.0","4298","1727","137","","","423","","","","","117","54","7","82",".978","-78"
"1989","Phillies","2086","1467","12900.0","4299","1768","132","","","374","","","","","113","66","6","91",".979","-79"
"1887","Blues","824","133","1136.0","2657","1626","472","","","224","","","","","","","120","",".901","-80"
"1967","Astros","1861","1458","13011.0","4340","1656","159","","","317","","","","","71","48","23","64",".974","-80"
"1975","Cubs","1942","1458","12998.0","4332","1908","179","","","413","","","","","93","54","15","34",".972","-80"
"1987","Cubs","2072","1449","12912.0","4303","1785","130","","","418","","","","","169","69","13","58",".979","-80"
"1904","Phillies","984","155","1339.1","3101","1906","352","","","218","","","","","","","18","",".934","-82"
"1962","Mets","1946","1449","12870.0","4292","1902","210","","","447","","","","","94","51","26","71",".967","-82"
"1969","Pilots","2049","1467","13173.0","4387","1762","167","","","388","","","","","117","46","21","61",".974","-82"
"1949","Browns","1244","155","1341.1","2896","1581","145","","","398","","","","","","","6","",".969","-84"
"1962","Colt .45's","1954","1458","13083.0","4363","1771","173","","","387","","","","","119","44","25","73",".973","-85"
"1968","Senators","1943","1449","12960.0","4326","1786","148","","","377","","","","","86","54","21","61",".976","-85"
"1973","Rangers","1930","1458","12870.0","4288","1704","161","","","419","","","","","109","58","8","62",".974","-85"
"1975","Braves","1831","1449","12870.0","4288","1873","173","","","395","","","","","147","44","35","53",".973","-85"
"1883","Quakers","615","99","864.2","2078","1184","512","","","147","","","","","","","125","",".864","-86"
"1980","Rangers","2027","1467","13065.0","4358","1817","145","","","460","","","","","112","60","21","58",".977","-86"
"1979","Braves","1900","1440","12669.0","4228","1781","183","","","385","","","","","181","48","25","45",".970","-87"
"1995","Padres","1871","1296","11562.0","3852","1537","108","","","339","","","","","91","54","8","60",".980","-87"
"1999","Rockies","2080","1458","12861.0","4286","1737","118","","","512","","","","","163","63","9","70",".981","-87"
"1997","Athletics","2255","1458","13008.0","4334","1765","122","","","463","","","","","131","48","5","51",".980","-90"
"1986","Mariners","1849","1458","12957.0","4317","1838","156","","","524","","","","","106","62","17","46",".975","-91"
"1997","Pirates","2134","1458","12924.0","4308","1832","131","","","381","","","","","109","66","11","61",".979","-91"
"1970","Giants","1965","1458","13119.0","4373","1774","170","","","398","","","","","113","30","30","76",".973","-92"
"1994","Padres","1530","1053","9411.0","3138","1201","111","","","217","","","","","99","45","11","48",".975","-94"
"1974","Padres","2047","1458","13011.0","4325","1759","170","","","337","","","","","131","65","3","68",".973","-95"
"1977","White Sox","1829","1458","13002.0","4332","1622","159","","","330","","","","","130","77","7","47",".974","-95"
"1956","Senators","1775","1395","12318.0","4107","1770","171","","","469","","","","","54","45","11","39",".972","-97"
"1993","Dodgers","2020","1457","13254.0","4415","1838","134","","","370","","","","","129","66","15","47",".979","-97"
"1957","Senators","1775","1386","12393.0","4122","1715","127","","","437","","","","","68","49","15","29",".979","-98"
"1976","Braves","1891","1458","12942.0","4317","1819","167","","","408","","","","","138","51","38","60",".974","-100"
"1991","Braves","2145","1458","13074.0","4358","1834","138","","","330","","","","","149","59","14","66",".978","-100"
"1992","Dodgers","2137","1458","12942.0","4314","1827","174","","","360","","","","","141","62","20","64",".972","-100"
"1968","Astros","1813","1458","13023.0","4341","1714","154","","","329","","","","","84","22","15","62",".975","-103"
"1984","Giants","2043","1458","13149.0","4383","1842","173","","","363","","","","","172","66","18","58",".973","-106"
"1998","Twins","2074","1458","13029.0","4343","1584","108","","","359","","","","","101","45","11","55",".982","-107"
"1979","Athletics","1852","1458","12864.0","4292","1717","175","","","359","","","","","117","86","15","72",".972","-120"
"1993","Padres","2176","1458","12939.0","4314","1615","160","","","329","","","","","142","68","20","57",".974","-130"
"1997","Padres","2126","1458","13050.0","4350","1819","132","","","345","","","","","171","75","8","58",".979","-132"
"1977","Braves","1963","1458","13008.0","4332","1704","175","","","327","","","","","205","83","34","64",".972","-139"
"1974","Cubs","2043","1458","13197.0","4399","1874","199","","","363","","","","","126","54","20","61",".969","-140"
"1953","Browns","1257","154","1383.2","3039","1591","128","","","433","","","","","","","8","",".973",""
"1953","Red Sox","1250","153","1373.0","3036","1696","126","","","463","","","","","","","8","",".974",""
"1953","White Sox","1233","156","1403.2","3240","1731","101","","","365","","","","","","","4","",".980",""
"1953","Indians","1184","155","1373.0","3113","1776","96","","","525","","","","","","","13","",".981",""
"1953","Tigers","1221","158","1415.0","3128","1700","111","","","395","","","","","","","20","",".978",""
"1953","Senators","1081","152","1344.2","2906","1602","104","","","446","","","","","","","12","",".977",""
"1953","Yankees","1261","151","1358.1","3009","1702","113","","","494","","","","","","","10","",".977",""
"1953","Athletics","1150","157","1409.0","3075","1663","112","","","425","","","","","","","15","",".977",""
"2002","Angels","2089","1458","13071.0","4357","1568","87","46","41","356","154","111","152","22","78","51","7","52",".986",""
"2002","Orioles","2004","1458","13056.0","4352","1717","90","49","41","407","173","123","173","20","103","44","22","54",".985",""
"2002","Red Sox","1951","1458","13014.0","4335","1632","104","58","45","332","143","102","140","19","118","50","20","31",".983",""
"2002","White Sox","2018","1458","12807.0","4269","1586","98","50","46","390","160","123","159","16","99","38","9","54",".984",""
"2002","Indians","2036","1458","12822.0","4273","1654","112","58","53","379","165","125","163","23","126","59","15","52",".981",""
"2002","Tigers","1913","1449","12726.0","4241","1708","142","79","60","334","149","98","148","20","72","34","23","59",".977",""
"2002","Royals","2041","1458","12969.0","4322","1697","129","61","68","387","154","117","153","24","90","36","8","68",".979",""
"2002","Twins","2080","1449","13002.0","4333","1414","74","45","29","320","123","99","124","39","57","27","5","62",".987",""
"2002","Yankees","1940","1449","13068.0","4355","1518","127","66","60","289","116","88","116","27","92","39","10","59",".979",""
"2002","Athletics","2108","1458","13068.0","4356","1789","102","50","51","362","143","115","144","14","68","46","9","40",".984",""
"2002","Mariners","2039","1458","13008.0","4335","1514","88","54","34","342","135","110","134","24","66","35","7","42",".985",""
"2002","Devil Rays","1818","1449","12963.0","4321","1554","125","59","63","407","171","137","170","16","92","53","13","62",".979",""
"2002","Rangers","2216","1458","12957.0","4317","1675","99","48","49","373","152","121","152","13","74","28","11","84",".984",""
"2002","Blue Jays","2034","1458","12945.0","4315","1607","107","59","48","374","162","119","161","35","107","41","18","57",".982",""
"2002","Diamondbacks","2107","1458","13020.0","4341","1498","89","55","33","274","119","85","117","26","77","43","13","48",".985",""
"2002","Braves","2107","1449","13206.0","4402","1815","113","65","46","437","167","131","169","25","96","55","12","40",".982",""
"2002","Cubs","2097","1458","12972.0","4325","1494","115","63","51","332","146","108","146","3","112","54","15","44",".981",""
"2002","Reds","2154","1458","13083.0","4360","1764","120","74","46","392","177","120","173","19","67","42","28","52",".981",""
"2002","Rockies","2180","1458","12840.0","4278","1689","112","69","41","379","157","117","159","21","87","23","12","42",".982",""
"2002","Marlins","2100","1458","13107.0","4367","1628","106","65","39","378","167","123","166","25","93","61","6","55",".983",""
"2002","Astros","2202","1458","13005.0","4335","1657","83","45","37","333","151","110","149","22","104","36","5","38",".986",""
"2002","Dodgers","2116","1458","13119.0","4373","1678","90","44","44","328","138","105","138","21","110","53","12","33",".985",""
"2002","Brewers","2110","1458","12891.0","4293","1631","103","50","52","366","157","114","156","12","109","49","12","64",".983",""
"2002","Expos","2081","1458","13077.0","4359","1790","139","75","61","367","162","113","161","16","85","44","12","51",".978",""
"2002","Mets","2177","1449","12984.0","4327","1625","144","79","65","325","144","107","143","23","151","53","11","22",".976",""
"2002","Phillies","2049","1449","13047.0","4349","1698","88","46","41","381","157","121","159","27","74","34","12","68",".986",""
"2002","Pirates","2187","1449","12714.0","4237","1888","115","69","45","409","185","126","181","20","94","44","11","34",".982",""
"2002","Cardinals","2230","1458","13017.0","4337","1664","102","56","45","375","172","118","170","13","86","34","9","40",".983",""
"2002","Padres","2231","1458","12927.0","4308","1671","127","68","59","382","161","121","161","18","76","40","14","51",".979",""
"2002","Giants","2099","1458","12936.0","4311","1625","91","61","30","400","168","131","168","26","87","36","7","36",".985",""
"2003","Angels","2108","1458","12882.0","4294","1516","105","54","49","315","138","101","139","0","80","48","11","53",".982",""
"2003","Orioles","1979","1467","13047.0","4349","1682","105","59","43","388","164","126","165","0","121","37","12","42",".983",""
"2003","Red Sox","2111","1458","13182.0","4394","1676","113","62","49","306","132","93","131","0","101","35","20","44",".982",""
"2003","White Sox","2068","1458","12879.0","4293","1583","93","47","44","381","153","122","154","0","58","29","13","39",".984",""
"2003","Indians","2035","1458","13134.0","4378","1779","126","67","56","425","183","136","181","0","84","43","11","49",".980",""
"2003","Tigers","2054","1458","12948.0","4316","1809","137","81","55","469","197","157","196","0","128","54","11","52",".978",""
"2003","Royals","2040","1458","12948.0","4316","1705","108","59","48","338","146","109","144","0","95","42","8","60",".982",""
"2003","Twins","2038","1458","13155.0","4385","1475","87","45","38","268","114","88","115","0","70","27","10","62",".985",""
"2003","Yankees","1953","1467","13158.0","4386","1575","114","63","48","288","128","86","128","0","92","37","13","33",".981",""
"2003","Athletics","2011","1458","12975.0","4325","1775","107","47","54","364","147","114","146","0","91","43","9","41",".983",""
"2003","Mariners","1943","1458","12969.0","4323","1449","65","38","27","377","163","126","161","0","62","32","12","35",".989",""
"2003","Devil Rays","1965","1458","12930.0","4310","1579","103","63","39","353","154","121","157","0","65","41","9","65",".983",""
"2003","Rangers","2176","1458","12900.0","4300","1702","94","47","45","403","169","134","170","0","96","45","11","51",".985",""
"2003","Blue Jays","2065","1458","12915.0","4305","1739","117","62","55","401","164","125","164","0","126","32","10","56",".981",""
"2003","Diamondbacks","2111","1458","13095.0","4365","1691","108","65","41","309","131","114","132","0","84","38","14","52",".982",""
"2003","Braves","2147","1458","13107.0","4369","1881","121","77","41","407","166","135","167","0","91","34","7","53",".981",""
"2003","Cubs","2099","1458","13107.0","4369","1675","106","59","44","394","157","135","157","0","70","42","12","63",".983",""
"2003","Reds","2145","1458","13017.0","4339","1701","141","71","69","363","155","120","154","0","77","28","9","46",".977",""
"2003","Rockies","2145","1458","12780.0","4260","1783","116","67","48","401","164","130","165","0","73","42","11","48",".981",""
"2003","Marlins","1977","1458","13008.0","4336","1590","78","37","41","388","162","127","162","0","70","25","11","51",".987",""
"2003","Astros","2153","1458","13050.0","4350","1707","95","56","37","360","145","121","149","0","86","48","4","40",".985",""
"2003","Dodgers","2147","1458","13119.0","4371","1810","118","53","62","399","163","138","164","0","117","75","8","50",".981",""
"2003","Brewers","2048","1458","13068.0","4356","1617","114","66","47","343","140","114","143","0","100","37","14","57",".981",""
"2003","Expos","2133","1458","12939.0","4313","1731","102","60","42","339","152","110","154","0","40","38","11","71",".983",""
"2003","Mets","2219","1449","12720.0","4240","1655","118","76","41","357","158","123","160","0","98","52","5","45",".980",""
"2003","Phillies","2020","1458","12993.0","4331","1692","97","50","44","391","146","119","146","0","112","24","16","53",".984",""
"2003","Pirates","2175","1458","12999.0","4333","1842","123","72","50","394","159","124","159","0","69","26","10","50",".980",""
"2003","Cardinals","2288","1458","13173.0","4391","1643","77","48","26","320","141","99","139","0","55","24","7","53",".987",""
"2003","Padres","2151","1458","12882.0","4294","1633","102","50","50","319","140","100","143","0","95","25","15","64",".983",""
"2003","Giants","2104","1449","12936.0","4312","1673","80","45","34","394","161","128","163","0","67","29","8","68",".987",""
"2004","Angels","2056","1458","13089.0","4363","1508","90","54","33","274","130","84","127","43","87","44","11","61",".985",""
"2004","Orioles","2069","1458","13098.0","4365","1678","110","48","60","386","166","122","163","27","82","39","15","68",".982",""
"2004","Red Sox","2231","1458","13062.0","4354","1650","118","64","53","303","129","93","129","27","123","31","21","39",".981",""
"2004","White Sox","2028","1458","12891.0","4297","1669","100","54","42","389","172","121","167","39","90","48","14","43",".984",""
"2004","Indians","2087","1458","13200.0","4400","1671","106","73","33","338","160","109","153","22","117","40","15","43",".983",""
"2004","Tigers","2068","1458","12957.0","4319","1706","144","74","69","410","164","127","161","39","71","41","10","71",".977",""
"2004","Royals","1990","1458","12783.0","4261","1630","131","65","65","410","178","130","172","40","84","35","17","60",".978",""
"2004","Twins","2081","1458","13284.0","4428","1656","101","46","51","380","162","121","161","42","73","44","6","45",".984",""
"2004","Yankees","2079","1458","12993.0","4331","1568","99","51","45","324","153","101","148","38","90","32","13","57",".983",""
"2004","Athletics","2022","1458","13242.0","4411","1805","91","49","41","407","176","125","175","24","74","49","14","39",".986",""
"2004","Mariners","2038","1458","13134.0","4378","1470","103","50","51","331","144","101","142","31","64","38","10","45",".983",""
"2004","Devil Rays","1984","1449","12753.0","4251","1528","119","60","57","344","148","104","144","22","67","32","8","55",".980",""
"2004","Rangers","2080","1458","12957.0","4318","1602","117","66","49","383","157","126","152","20","71","39","16","34",".981",""
"2004","Blue Jays","1990","1449","12789.0","4263","1628","91","42","48","341","151","110","149","19","91","41","11","60",".985",""
"2004","Diamondbacks","2093","1458","12924.0","4309","1714","139","74","64","334","148","104","145","31","97","50","18","71",".977",""
"2004","Braves","2149","1458","13050.0","4350","1788","116","63","50","429","178","139","173","29","91","29","10","36",".981",""
"2004","Cubs","2098","1458","13188.0","4396","1575","86","48","38","292","131","92","127","27","108","39","9","50",".986",""
"2004","Reds","2202","1458","12993.0","4331","1641","113","57","54","283","127","94","124","29","67","29","17","74",".981",""
"2004","Rockies","2167","1458","12918.0","4304","1820","89","37","51","380","165","117","163","27","111","32","15","66",".986",""
"2004","Marlins","2016","1458","12951.0","4317","1599","86","48","35","351","157","115","155","28","118","38","11","35",".986",""
"2004","Astros","2191","1458","12987.0","4329","1614","101","57","43","343","143","107","140","23","101","39","4","45",".983",""
"2004","Dodgers","2126","1458","13080.0","4360","1666","73","35","36","377","146","126","146","29","96","40","15","43",".988",""
"2004","Brewers","2002","1449","12978.0","4326","1593","117","71","43","302","135","100","132","19","89","29","7","59",".981",""
"2004","Expos","2109","1458","13023.0","4341","1698","99","55","43","391","178","136","172","21","58","41","7","43",".984",""
"2004","Mets","2206","1458","13041.0","4347","1740","137","75","57","348","150","112","145","19","100","39","12","30",".978",""
"2004","Phillies","2079","1458","13164.0","4389","1627","81","43","34","336","144","111","142","21","103","26","7","40",".987",""
"2004","Pirates","2172","1449","12852.0","4283","1690","103","57","42","450","189","140","188","33","72","38","2","45",".983",""
"2004","Cardinals","2221","1458","13083.0","4360","1832","97","60","36","366","159","116","156","27","53","29","9","42",".985",""
"2004","Padres","2105","1458","12969.0","4323","1600","108","59","45","349","151","105","146","24","69","25","9","27",".982",""
"2004","Giants","2226","1458","13113.0","4370","1735","101","62","38","363","157","116","154","32","72","24","11","52",".984",""
"2005","Angels","2033","1458","13179.0","4393","1520","87","40","45","318","143","96","139","29","68","42","13","70",".986",""
"2005","Orioles","2119","1458","12849.0","4283","1679","107","54","51","362","157","120","154","21","115","34","13","70",".982",""
"2005","Red Sox","2155","1458","12861.0","4287","1623","109","56","51","350","139","113","135","14","87","29","13","56",".982",""
"2005","White Sox","1993","1458","13281.0","4427","1671","94","55","35","399","171","122","168","21","103","25","9","65",".985",""
"2005","Indians","1959","1458","13074.0","4358","1641","106","61","45","389","158","126","157","18","103","33","6","26",".983",""
"2005","Tigers","2055","1458","12921.0","4307","1789","110","50","59","418","178","140","172","28","60","49","4","53",".982",""
"2005","Royals","2039","1458","12720.0","4240","1643","125","73","51","388","172","122","164","25","70","44","5","69",".979",""
"2005","Twins","2029","1458","13179.0","4393","1765","102","59","41","395","175","124","171","22","44","36","9","35",".984",""
"2005","Yankees","2088","1458","12876.0","4292","1688","95","53","40","352","155","107","151","24","125","50","11","37",".984",""
"2005","Athletics","1988","1458","13053.0","4351","1649","88","51","34","390","168","122","166","26","109","25","5","41",".986",""
"2005","Mariners","1994","1458","12849.0","4283","1572","86","44","40","338","147","111","146","17","89","43","14","36",".986",""
"2005","Devil Rays","2057","1458","12795.0","4265","1445","124","69","53","283","144","96","140","23","68","45","13","53",".979",""
"2005","Rangers","2009","1458","12960.0","4320","1675","108","61","45","357","149","107","149","21","69","26","11","44",".982",""
"2005","Blue Jays","2091","1458","13023.0","4341","1755","95","45","47","383","156","119","155","31","100","35","6","39",".985",""
"2005","Diamondbacks","2129","1458","13107.0","4369","1792","94","44","50","409","162","135","160","26","78","28","11","58",".985",""
"2005","Braves","2110","1458","12993.0","4332","1802","86","50","34","405","171","124","171","23","89","36","8","42",".986",""
"2005","Cubs","2112","1458","12960.0","4320","1657","101","58","41","334","139","105","137","26","90","40","6","57",".983",""
"2005","Reds","2114","1467","12897.0","4299","1587","104","51","52","337","133","100","133","24","76","35","9","53",".983",""
"2005","Rockies","2099","1458","12768.0","4256","1702","118","51","66","368","160","114","158","25","102","37","14","65",".981",""
"2005","Marlins","2102","1458","12981.0","4327","1660","103","54","49","427","179","133","178","21","118","38","9","45",".983",""
"2005","Astros","2160","1467","12987.0","4329","1697","89","50","38","351","148","120","146","28","53","31","6","38",".985",""
"2005","Dodgers","2155","1458","12846.0","4282","1727","106","63","41","345","142","109","141","16","130","34","9","36",".983",""
"2005","Brewers","2001","1458","12942.0","4314","1483","119","61","55","302","144","89","140","22","86","34","8","66",".980",""
"2005","Nationals","2152","1458","13122.0","4374","1546","92","52","38","349","158","111","158","22","76","41","7","49",".985",""
"2005","Mets","2029","1458","12921.0","4307","1657","106","61","42","364","152","117","146","40","107","25","5","32",".983",""
"2005","Phillies","2076","1458","12915.0","4305","1608","90","47","41","311","136","92","133","19","82","26","12","36",".985",""
"2005","Pirates","2115","1458","12924.0","4308","1801","117","64","51","477","200","156","193","26","64","36","16","53",".981",""
"2005","Cardinals","2206","1458","13011.0","4337","1950","100","58","40","500","200","151","198","47","32","33","12","41",".984",""
"2005","Padres","2182","1458","13098.0","4366","1523","109","53","56","336","139","116","137","22","94","25","12","36",".982",""
"2005","Giants","2171","1458","12999.0","4333","1630","90","64","24","337","147","109","147","17","78","54","5","38",".985",""
"2006","Angels","2050","1458","13074.0","4358","1544","124","77","44","365","156","122","156","18","77","40","8","85",".979",""
"2006","Orioles","2129","1458","12771.0","4257","1607","102","54","47","373","158","119","156","18","80","50","15","59",".983",""
"2006","Red Sox","2165","1458","12972.0","4324","1662","66","37","28","414","176","131","175","22","108","23","24","52",".989",""
"2006","White Sox","2069","1458","13041.0","4347","1652","90","49","39","361","150","109","148","27","116","34","13","51",".985",""
"2006","Indians","1938","1458","12810.0","4270","1670","118","69","45","394","170","122","165","27","128","34","7","46",".981",""
"2006","Tigers","2025","1458","13032.0","4344","1779","106","61","45","394","163","120","162","19","49","35","6","44",".983",""
"2006","Royals","2069","1458","12837.0","4279","1657","98","59","39","461","195","150","191","31","58","30","10","85",".984",""
"2006","Twins","2006","1458","12954.0","4318","1646","84","40","43","317","135","104","134","22","54","31","5","40",".986",""
"2006","Yankees","2240","1458","12993.0","4331","1593","104","53","50","356","147","107","145","18","92","47","17","46",".983",""
"2006","Athletics","2016","1458","13065.0","4355","1624","84","43","39","417","177","131","175","17","88","41","10","43",".986",""
"2006","Mariners","2023","1458","13020.0","4340","1630","88","51","37","365","153","115","151","29","72","38","16","47",".985",""
