"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1929","Giants","1109","152","1372.0","3151","1952","128","","","415","","","","","","","8","",".976","44"
"1950","Giants","1209","154","1375.0","3053","1738","117","","","480","","","","","","","12","",".976","44"
"1960","White Sox","1769","1386","12429.0","4145","1786","109","","","470","","","","","41","38","6","22",".982","44"
"1961","Cardinals","1880","1395","12318.0","4102","1755","166","","","420","","","","","67","40","17","44",".972","44"
"1967","Orioles","1816","1449","13116.0","4362","1708","124","","","368","","","","","79","48","17","59",".980","44"
"1970","Dodgers","1902","1449","13128.0","4372","1767","135","","","357","","","","","106","29","17","49",".978","44"
"1974","Orioles","1821","1458","13266.0","4421","1922","128","","","483","","","","","92","58","16","33",".980","44"
"1993","Cubs","2134","1467","13047.0","4350","1888","115","","","433","","","","","84","69","14","43",".982","44"
"1999","Red Sox","1989","1458","12930.0","4310","1548","127","","","346","","","","","159","58","31","28",".979","44"
"2001","Phillies","2024","1458","13008.0","4336","1603","91","","","392","","","","","57","32","9","40",".985","44"
"1880","Grays","550","87","799.0","1956","1163","295","","","108","","","","","","","73","",".914","43"
"1893","Pirates","831","131","1167.0","2729","1727","260","","","257","","","","","","","45","",".945","43"
"1896","Reds","809","128","1108.0","2492","1542","186","","","244","","","","","","","19","",".956","43"
"1898","Beaneaters","964","152","1340.0","3160","1829","252","","","256","","","","","","","46","",".952","43"
"1902","Americans","857","138","1238.0","2959","1832","205","","","247","","","","","","","24","",".959","43"
"1917","Giants","1140","158","1426.2","3251","2040","171","","","309","","","","","","","7","",".969","43"
"1923","Giants","1145","153","1378.0","3179","1942","140","","","349","","","","","","","7","",".973","43"
"1924","Giants","1156","154","1378.2","3131","1994","139","","","405","","","","","","","5","",".974","43"
"1930","Senators","1081","154","1369.0","3073","1747","121","","","390","","","","","","","4","",".976","43"
"1930","Robins","1135","154","1372.0","3077","1833","156","","","451","","","","","","","14","",".969","43"
"1935","Cubs","1077","154","1394.1","3136","1811","154","","","411","","","","","","","13","",".970","43"
"1982","Orioles","2020","1467","13161.0","4389","1707","101","","","371","","","","","98","51","7","36",".984","43"
"1983","Blue Jays","1991","1458","13008.0","4335","1638","115","","","387","","","","","83","47","7","25",".981","43"
"1997","Mets","2167","1458","13134.0","4378","1881","120","","","447","","","","","106","44","10","47",".981","43"
"1875","Brown Stockings","444","70","630.0","1576","904","359","","","88","","","","","","","0","",".874","42"
"1890","Beaneaters","811","134","1187.0","2836","1530","300","","","173","","","","","","","34","",".936","42"
"1904","Highlanders","987","155","1380.2","3398","2048","232","","","217","","","","","","","17","",".959","42"
"1922","Yankees","1029","154","1393.2","3189","1929","118","","","308","","","","","","","17","",".977","42"
"1955","Dodgers","1189","154","1378.0","3190","1641","111","","","407","","","","","","","5","34",".978","42"
"1963","White Sox","1904","1458","13221.0","4393","1777","131","","","420","","","","","51","32","23","36",".979","42"
"1963","Braves","1985","1467","13248.0","4413","1851","128","","","444","","","","","60","43","15","53",".980","42"
"1977","Orioles","2006","1449","13059.0","4349","1875","106","","","504","","","","","77","72","7","29",".983","42"
"1988","Expos","1984","1467","13344.0","4451","1817","142","","","390","","","","","194","58","14","39",".978","42"
"1993","Yankees","2023","1458","12945.0","4314","1889","105","","","436","","","","","115","47","7","33",".983","42"
"1999","Braves","2149","1458","13239.0","4413","1658","111","","","339","","","","","108","45","10","34",".982","42"
"1883","Blues","611","100","879.0","2161","1166","299","","","163","","","","","","","85","",".918","41"
"1892","Reds","977","155","1377.1","3298","2024","326","","","326","","","","","","","56","",".942","41"
"1893","Reds","837","131","1172.0","2725","1732","236","","","326","","","","","","","43","",".950","41"
"1897","Beaneaters","848","135","1194.1","2784","1630","233","","","192","","","","","","","31","",".950","41"
"1930","Giants","1123","154","1363.1","3135","1922","141","","","381","","","","","","","7","",".973","41"
"1933","Cubs","1066","154","1362.0","3095","1832","131","","","426","","","","","","","5","",".974","41"
"1938","Giants","1083","152","1349.0","3150","1882","149","","","380","","","","","","","10","",".971","41"
